,timestamp,equity,profit_loss,profit_loss_pct,base_value,base_value_asof,timeframe
118,1713624600,99997.88,-2.1199999999953434,1.0,100000.0,2024-04-18,5Min
119,1713624900,99997.9,-2.1000000000058208,1.0,100000.0,2024-04-18,5Min
120,1713625200,99997.72,-2.279999999998836,1.0,100000.0,2024-04-18,5Min
121,1713625500,99997.73999999999,-2.2599999999947613,1.0,100000.0,2024-04-18,5Min
122,1713625800,99996.98000000001,-3.0200000000040745,1.0,100000.0,2024-04-18,5Min
123,1713626100,99997.31,-2.6900000000023283,1.0,100000.0,2024-04-18,5Min
124,1713626400,99997.51000000001,-2.4900000000052387,1.0,100000.0,2024-04-18,5Min
125,1713626700,99997.63,-2.3699999999953434,1.0,100000.0,2024-04-18,5Min
126,1713627000,99997.76000000001,-2.2400000000052387,1.0,100000.0,2024-04-18,5Min
127,1713627300,99998.60999999999,-1.389999999999418,1.0,100000.0,2024-04-18,5Min
128,1713627600,99999.48999999999,-0.5099999999947613,1.0,100000.0,2024-04-18,5Min
129,1713627900,99999.51999999999,-0.47999999999592546,1.0,100000.0,2024-04-18,5Min
130,1713628200,99999.54000000001,-0.46000000000640284,1.0,100000.0,2024-04-18,5Min
131,1713628500,99999.53,-0.47000000000116415,1.0,100000.0,2024-04-18,5Min
132,1713628800,99999.54000000001,-0.46000000000640284,1.0,100000.0,2024-04-18,5Min
133,1713629100,99999.35,-0.6499999999941792,1.0,100000.0,2024-04-18,5Min
134,1713629400,99998.85999999999,-1.139999999999418,1.0,100000.0,2024-04-18,5Min
135,1713629700,99999.13,-0.8699999999953434,1.0,100000.0,2024-04-18,5Min
136,1713630000,99999.68,-0.3200000000069849,1.0,100000.0,2024-04-18,5Min
137,1713630300,99999.75,-0.25,1.0,100000.0,2024-04-18,5Min
138,1713630600,99999.75,-0.25,1.0,100000.0,2024-04-18,5Min
139,1713630900,99999.76000000001,-0.2400000000052387,1.0,100000.0,2024-04-18,5Min
140,1713631200,99999.76000000001,-0.2400000000052387,1.0,100000.0,2024-04-18,5Min
141,1713631500,99999.75,-0.25,1.0,100000.0,2024-04-18,5Min
142,1713631800,99999.75,-0.25,1.0,100000.0,2024-04-18,5Min
143,1713632100,99999.75,-0.25,1.0,100000.0,2024-04-18,5Min
144,1713632400,99999.76000000001,-0.2400000000052387,1.0,100000.0,2024-04-18,5Min
145,1713632700,99999.76999999999,-0.22999999999592546,1.0,100000.0,2024-04-18,5Min
146,1713633000,99999.78,-0.22000000000116415,1.0,100000.0,2024-04-18,5Min
147,1713633300,99999.78,-0.22000000000116415,1.0,100000.0,2024-04-18,5Min
148,1713633600,99999.79999999999,-0.19999999999708962,1.0,100000.0,2024-04-18,5Min
149,1713633900,99999.79999999999,-0.19999999999708962,1.0,100000.0,2024-04-18,5Min
150,1713634200,99999.79999999999,-0.19999999999708962,1.0,100000.0,2024-04-18,5Min
151,1713634500,99999.79000000001,-0.21000000000640284,1.0,100000.0,2024-04-18,5Min
152,1713634800,99999.63,-0.3699999999953434,1.0,100000.0,2024-04-18,5Min
153,1713635100,99999.70000000001,-0.3000000000029104,1.0,100000.0,2024-04-18,5Min
154,1713635400,99999.57,-0.4299999999930151,1.0,100000.0,2024-04-18,5Min
155,1713635700,99999.62,-0.3800000000046566,1.0,100000.0,2024-04-18,5Min
156,1713636000,99999.68,-0.3200000000069849,1.0,100000.0,2024-04-18,5Min
157,1713636300,99999.67000000001,-0.33000000000174623,1.0,100000.0,2024-04-18,5Min
158,1713636600,99999.35,-0.6499999999941792,1.0,100000.0,2024-04-18,5Min
159,1713636900,99999.16,-0.8399999999965075,1.0,100000.0,2024-04-18,5Min
160,1713637200,99998.98000000001,-1.0200000000040745,1.0,100000.0,2024-04-18,5Min
161,1713637500,99998.53,-1.4700000000011642,1.0,100000.0,2024-04-18,5Min
162,1713637800,99998.70000000001,-1.3000000000029104,1.0,100000.0,2024-04-18,5Min
163,1713638100,99998.95999999999,-1.0399999999935972,1.0,100000.0,2024-04-18,5Min
164,1713638400,99998.76000000001,-1.2400000000052387,1.0,100000.0,2024-04-18,5Min
165,1713638700,99998.62,-1.3800000000046566,1.0,100000.0,2024-04-18,5Min
166,1713639000,99998.51000000001,-1.4900000000052387,1.0,100000.0,2024-04-18,5Min
167,1713639300,99998.51000000001,-1.4900000000052387,1.0,100000.0,2024-04-18,5Min
168,1713639600,99998.62,-1.3800000000046566,1.0,100000.0,2024-04-18,5Min
169,1713639900,99998.42000000001,-1.5800000000017462,1.0,100000.0,2024-04-18,5Min
170,1713640200,99998.22,-1.7799999999988358,1.0,100000.0,2024-04-18,5Min
171,1713640500,99998.20999999999,-1.7899999999935972,1.0,100000.0,2024-04-18,5Min
172,1713640800,99998.18,-1.820000000006985,1.0,100000.0,2024-04-18,5Min
173,1713641100,99998.04000000001,-1.9600000000064028,1.0,100000.0,2024-04-18,5Min
174,1713641400,99998.04000000001,-1.9600000000064028,1.0,100000.0,2024-04-18,5Min
175,1713641700,99998.04000000001,-1.9600000000064028,1.0,100000.0,2024-04-18,5Min
176,1713642000,99998.09,-1.9100000000034925,1.0,100000.0,2024-04-18,5Min
177,1713642300,99998.09,-1.9100000000034925,1.0,100000.0,2024-04-18,5Min
178,1713642600,99998.09,-1.9100000000034925,1.0,100000.0,2024-04-18,5Min
179,1713642900,99997.97,-2.029999999998836,1.0,100000.0,2024-04-18,5Min
180,1713643200,99998.10999999999,-1.889999999999418,1.0,100000.0,2024-04-18,5Min
181,1713643500,99998.35999999999,-1.639999999999418,1.0,100000.0,2024-04-18,5Min
182,1713643800,99998.48999999999,-1.5099999999947613,1.0,100000.0,2024-04-18,5Min
183,1713644100,99998.29999999999,-1.6999999999970896,1.0,100000.0,2024-04-18,5Min
184,1713644400,99998.01000000001,-1.9900000000052387,1.0,100000.0,2024-04-18,5Min
185,1713644700,99997.56,-2.4400000000023283,1.0,100000.0,2024-04-18,5Min
186,1713645000,99997.68,-2.320000000006985,1.0,100000.0,2024-04-18,5Min
187,1713645300,99998.07999999999,-1.9199999999982538,1.0,100000.0,2024-04-18,5Min
188,1713645600,99997.95000000001,-2.0500000000029104,1.0,100000.0,2024-04-18,5Min
189,1713645900,99997.94,-2.0599999999976717,1.0,100000.0,2024-04-18,5Min
190,1713646200,99997.73000000001,-2.2700000000040745,1.0,100000.0,2024-04-18,5Min
191,1713646500,99997.57999999999,-2.4199999999982538,1.0,100000.0,2024-04-18,5Min
192,1713646800,99997.62,-2.3800000000046566,1.0,100000.0,2024-04-18,5Min
193,1713647100,99997.68,-2.320000000006985,1.0,100000.0,2024-04-18,5Min
194,1713647400,99997.85999999999,-2.139999999999418,1.0,100000.0,2024-04-18,5Min
195,1713647700,99997.85999999999,-2.139999999999418,1.0,100000.0,2024-04-18,5Min
196,1713648000,99997.73000000001,-2.2700000000040745,1.0,100000.0,2024-04-18,5Min
197,1713648300,99997.56,-2.4400000000023283,1.0,100000.0,2024-04-18,5Min
