,trade,price,time,log
156,sell,65664.8,1713669232.3570035,sell at 65664.8 at 1713669232.3570035
157,buy,65532.28,1713669537.572958,buy at 65532.28 at 1713669537.572958
158,buy,65424.3,1713669842.5920694,buy at 65424.3 at 1713669842.5920694
159,buy,65424.3,1713669905.7433245,buy at 65424.3 at 1713669905.7433245
160,buy,65272.95,1713670149.9566598,buy at 65272.95 at 1713670149.9566598
161,buy,65272.95,1713670212.3553085,buy at 65272.95 at 1713670212.3553085
162,sell,65209.77,1713671679.0357273,sell at 65209.77 at 1713671679.0357273
163,sell,65209.77,1713671739.6758363,sell at 65209.77 at 1713671739.6758363
164,buy,65025.35,1713672894.2488158,buy at 65025.35 at 1713672894.2488158
165,buy,65025.35,1713672956.239485,buy at 65025.35 at 1713672956.239485
166,buy,65025.35,1713673018.3236465,buy at 65025.35 at 1713673018.3236465
167,buy,65025.35,1713673080.3316252,buy at 65025.35 at 1713673080.3316252
168,buy,64993.87,1713673809.888258,buy at 64993.87 at 1713673809.888258
169,sell,65019.79,1713674113.6434627,sell at 65019.79 at 1713674113.6434627
170,sell,65045.44,1713674417.5771573,sell at 65045.44 at 1713674417.5771573
171,sell,65072.03,1713674721.4900088,sell at 65072.03 at 1713674721.4900088
172,sell,65141.24,1713675025.4013019,sell at 65141.24 at 1713675025.4013019
173,sell,65141.24,1713675087.3397036,sell at 65141.24 at 1713675087.3397036
