Epoch Time,Open Price,High Price,Low Price,Close Price,Volume
1713652620.000000,64634.460000,64694.760000,64634.460000,64691.600000,3.151257
1713652560.000000,64632.210000,64686.370000,64668.390000,64634.460000,2.029015
1713652500.000000,64668.390000,64742.470000,64735.100000,64668.390000,3.101442
1713652440.000000,64717.690000,64743.970000,64729.440000,64732.100000,0.761770
1713652380.000000,64722.630000,64757.250000,64757.250000,64722.630000,1.866028
1713652320.000000,64748.580000,64759.220000,64752.970000,64757.250000,0.871122
1713652260.000000,64747.350000,64778.830000,64754.720000,64748.140000,1.542451
1713652200.000000,64729.170000,64802.680000,64732.410000,64754.670000,3.674257
1713652140.000000,64722.490000,64743.560000,64723.620000,64734.340000,0.993206
1713652080.000000,64711.410000,64734.910000,64727.360000,64723.380000,5.626117
1713652020.000000,64719.340000,64745.350000,64745.350000,64733.170000,3.841503
1713651960.000000,64709.800000,64767.370000,64716.800000,64747.180000,4.288268
1713651900.000000,64713.970000,64767.360000,64744.270000,64713.970000,2.677120
1713651840.000000,64726.650000,64766.770000,64754.570000,64742.080000,1.727449
1713651780.000000,64742.130000,64767.110000,64763.700000,64756.470000,1.053235
1713651720.000000,64757.550000,64795.910000,64782.330000,64763.860000,2.006117
1713651660.000000,64731.780000,64784.710000,64741.090000,64783.630000,3.401906
1713651600.000000,64693.650000,64751.000000,64696.460000,64742.800000,2.920675
1713651540.000000,64680.010000,64705.470000,64683.320000,64696.510000,0.599009
1713651480.000000,64670.660000,64732.330000,64729.440000,64690.420000,1.563414
1713651420.000000,64698.890000,64777.850000,64698.890000,64740.000000,6.806685
1713651360.000000,64672.620000,64724.300000,64672.910000,64697.670000,2.057551
1713651300.000000,64624.930000,64679.580000,64624.930000,64678.850000,2.389900
1713651240.000000,64613.130000,64647.000000,64640.960000,64618.960000,0.773508
1713651180.000000,64632.590000,64663.440000,64660.550000,64637.980000,1.839207
1713651120.000000,64593.960000,64659.960000,64593.960000,64659.960000,3.744067
1713651060.000000,64575.020000,64634.300000,64628.330000,64594.420000,4.211635
1713651000.000000,64603.330000,64659.180000,64649.880000,64630.940000,5.193692
1713650940.000000,64642.700000,64695.910000,64659.690000,64649.870000,1.800432
1713650880.000000,64661.760000,64703.800000,64702.670000,64663.770000,1.215156
1713650820.000000,64694.180000,64762.260000,64694.180000,64698.700000,2.888623
1713650760.000000,64671.770000,64704.900000,64702.250000,64694.180000,2.481809
1713650700.000000,64648.690000,64705.800000,64653.610000,64703.240000,4.076800
1713650640.000000,64657.380000,64681.830000,64668.920000,64657.380000,2.459500
1713650580.000000,64662.290000,64695.240000,64669.450000,64670.700000,1.618632
1713650520.000000,64662.240000,64720.000000,64675.640000,64668.740000,3.804056
1713650460.000000,64666.240000,64716.800000,64666.240000,64674.000000,2.360951
1713650400.000000,64663.060000,64784.870000,64750.000000,64666.240000,2.075088
1713650340.000000,64653.630000,64750.000000,64682.310000,64750.000000,1.602570
1713650280.000000,64640.030000,64691.540000,64691.530000,64684.070000,3.992994
1713650220.000000,64691.520000,64715.220000,64715.220000,64693.500000,1.130459
1713650160.000000,64707.860000,64754.770000,64754.650000,64715.220000,2.767095
1713650100.000000,64713.740000,64756.970000,64713.740000,64750.070000,1.897868
1713650040.000000,64713.200000,64788.890000,64779.750000,64713.740000,3.431271
1713649980.000000,64713.200000,64783.420000,64713.200000,64782.160000,2.352009
1713649920.000000,64707.010000,64757.760000,64757.760000,64714.740000,1.298818
1713649860.000000,64756.850000,64805.120000,64805.120000,64757.770000,1.428112
1713649800.000000,64796.490000,64805.880000,64802.300000,64798.270000,0.831576
1713649740.000000,64784.300000,64809.700000,64806.850000,64804.360000,2.731295
1713649680.000000,64800.740000,64808.690000,64800.740000,64806.850000,0.796648
1713649620.000000,64787.160000,64855.830000,64846.540000,64800.740000,5.503547
1713649560.000000,64824.530000,64846.540000,64824.530000,64846.540000,3.012793
1713649500.000000,64822.000000,64842.520000,64827.010000,64827.350000,1.671959
1713649440.000000,64751.230000,64832.300000,64785.790000,64825.970000,9.205890
1713649380.000000,64727.920000,64799.170000,64728.800000,64793.200000,3.975242
1713649320.000000,64727.920000,64745.180000,64737.720000,64729.000000,1.757089
1713649260.000000,64696.040000,64744.350000,64698.580000,64740.070000,0.982487
1713649200.000000,64650.040000,64698.570000,64662.610000,64696.630000,2.173784
1713649140.000000,64655.060000,64702.450000,64697.190000,64662.650000,1.700208
1713649080.000000,64657.740000,64709.510000,64657.740000,64697.100000,1.057107
1713649020.000000,64657.750000,64691.510000,64689.690000,64657.750000,0.486712
1713648960.000000,64687.930000,64753.730000,64742.090000,64691.520000,3.273731
1713648900.000000,64689.140000,64748.820000,64691.120000,64745.830000,1.235615
1713648840.000000,64660.920000,64698.600000,64666.060000,64688.030000,3.020837
1713648780.000000,64666.070000,64731.490000,64731.490000,64666.070000,0.789149
1713648720.000000,64721.070000,64743.700000,64742.080000,64729.480000,1.245188
1713648660.000000,64708.660000,64754.670000,64712.290000,64742.070000,1.802646
1713648600.000000,64687.310000,64713.580000,64696.720000,64712.290000,12.386495
1713648540.000000,64689.160000,64700.000000,64700.000000,64699.990000,0.818118
1713648480.000000,64692.060000,64700.000000,64700.000000,64700.000000,1.578848
1713648420.000000,64676.900000,64700.030000,64699.980000,64700.000000,3.301609
1713648360.000000,64699.080000,64726.450000,64716.450000,64700.040000,1.030711
1713648300.000000,64711.000000,64742.080000,64742.080000,64725.200000,1.128686
1713648240.000000,64742.080000,64762.920000,64756.910000,64742.080000,1.654323
1713648180.000000,64756.400000,64778.010000,64767.860000,64756.900000,0.936042
1713648120.000000,64753.270000,64780.000000,64753.270000,64767.840000,1.678500
1713648060.000000,64743.210000,64766.990000,64764.480000,64753.220000,1.227994
1713648000.000000,64757.640000,64767.370000,64763.710000,64764.480000,1.055213
1713647940.000000,64761.540000,64794.150000,64783.750000,64764.140000,1.472933
1713647880.000000,64773.650000,64813.630000,64803.940000,64787.170000,3.071441
1713647820.000000,64803.510000,64819.650000,64814.620000,64803.510000,2.258644
1713647760.000000,64812.750000,64830.000000,64825.690000,64812.750000,0.749255
1713647700.000000,64807.910000,64829.750000,64811.400000,64825.620000,0.962254
1713647640.000000,64808.680000,64820.300000,64808.680000,64815.970000,0.691801
1713647580.000000,64780.010000,64814.000000,64780.010000,64808.800000,1.218387
1713647520.000000,64780.000000,64805.280000,64805.280000,64780.010000,1.232166
1713647460.000000,64786.100000,64813.100000,64800.150000,64805.290000,2.014091
1713647400.000000,64795.750000,64821.020000,64817.920000,64795.760000,1.906765
1713647340.000000,64801.420000,64819.990000,64811.380000,64807.620000,1.409840
1713647280.000000,64801.260000,64827.650000,64816.580000,64816.990000,0.678160
1713647220.000000,64808.350000,64833.740000,64813.680000,64824.320000,10.307070
1713647160.000000,64811.500000,64832.850000,64822.710000,64816.590000,1.137470
1713647100.000000,64807.850000,64832.520000,64817.150000,64822.710000,0.923984
1713647040.000000,64788.620000,64824.390000,64797.100000,64814.280000,1.636925
